what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1501853229965
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1501853229965
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1501853229965
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1501853229965
java.vm.specification.version,sysinfo,,,"1.8",1501853229965
java.vm.vendor,sysinfo,,,"Oracle Corporation",1501853229965
java.vm.version,sysinfo,,,"25.121-b13",1501853229965
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1501853231035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501853231373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501853242999
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501853251681
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1501853256522
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1501853256581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501853324354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501853324430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501853326456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501867298231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501867414339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501868105032
started,bundle,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.ui",1501868105392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501868105412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501868107977
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1501868107984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501868137959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501880626029
